weight,lang,perplexity,asr
0.01,fra,107.00773842378709,0.0
0.01,spa,786.2602358806791,0.0
0.01,deu,136.2882371345941,0.0
0.02,fra,111.37522768679293,0.0
0.02,spa,647.1582941999227,0.0
0.02,deu,152.66804946926024,0.0
0.03,fra,117.99010862565822,0.0
0.03,spa,514.4121673121145,0.0
0.03,deu,178.5353813760946,0.0
0.04,fra,124.80103068174982,0.0
0.04,spa,385.6320110269435,0.0
0.04,deu,212.43000319754756,0.0
0.05,fra,132.0954038386511,0.0
0.05,spa,286.14015489354665,0.0
0.05,deu,251.5649930610705,0.0
0.06,fra,141.57530200072705,0.0
0.06,spa,222.30691636919292,0.0
0.06,deu,291.3238734717743,0.0
0.07,fra,151.7953056498996,0.0
0.07,spa,177.493519304797,0.003205128205128205
0.07,deu,331.885496706108,0.0
0.08,fra,164.3876258108078,0.5128205128205128
0.08,spa,148.00347822287875,0.4967948717948718
0.08,deu,371.689339084167,0.13782051282051283
0.09,fra,179.18877266496472,0.9519230769230769
0.09,spa,127.70024338453271,0.9391025641025641
0.09,deu,418.42676661949764,0.8076923076923077
0.1,fra,193.83140876820343,0.9839743589743589
0.1,spa,112.2124172547035,0.9903846153846154
0.1,deu,464.32199670225754,0.9519230769230769
0.11,fra,211.33833060588861,1.0
0.11,spa,101.14992795134644,0.9935897435897436
0.11,deu,518.0039324651884,1.0
0.12,fra,227.10201082605673,1.0
0.12,spa,92.7700812484007,1.0
0.12,deu,566.8977580237547,1.0
0.13,fra,245.1905388380364,1.0
0.13,spa,86.38900383989534,1.0
0.13,deu,617.8384977126906,1.0
0.14,fra,264.33710680205894,1.0
0.14,spa,81.31993966346992,1.0
0.14,deu,670.7696018012824,1.0
0.15,fra,281.59746186856455,1.0
0.15,spa,77.73379314414585,1.0
0.15,deu,724.5306617953421,1.0
0.16,fra,298.09450988683386,1.0
0.16,spa,74.17371453157786,1.0
0.16,deu,777.223800284604,1.0
0.17,fra,312.68084038356795,1.0
0.17,spa,71.45468501376682,1.0
0.17,deu,827.0285700389119,1.0
0.18,fra,328.5663412307333,1.0
0.18,spa,69.32418602135539,1.0
0.18,deu,876.8974700579546,1.0
0.19,fra,342.4807651787608,1.0
0.19,spa,67.46898525120912,1.0
0.19,deu,922.128398719816,1.0
0.2,fra,357.3746447273215,1.0
0.2,spa,65.77565157332627,1.0
0.2,deu,972.5633984611156,1.0
0.21,fra,371.9292158002707,1.0
0.21,spa,64.45043093510323,1.0
0.21,deu,1019.5244769557352,1.0
0.22,fra,386.50626408574453,1.0
0.22,spa,63.21834477009279,1.0
0.22,deu,1068.7480162004138,1.0
0.23,fra,400.6244076914837,1.0
0.23,spa,62.158364955982385,1.0
0.23,deu,1112.9984362851096,1.0
0.24,fra,414.1990616478264,1.0
0.24,spa,61.21164470066784,1.0
0.24,deu,1147.0153928553545,1.0
0.25,fra,428.3594799492267,1.0
0.25,spa,60.412083114949105,1.0
0.25,deu,1185.3570547639292,1.0
0.26,fra,440.2707796773653,1.0
0.26,spa,59.67629652217917,1.0
0.26,deu,1219.560122923163,1.0
0.27,fra,450.1515624544397,1.0
0.27,spa,59.02676639600607,1.0
0.27,deu,1249.7260014032447,1.0
0.28,fra,461.3379961603542,1.0
0.28,spa,58.415856923478,1.0
0.28,deu,1283.6472120728336,1.0
0.29,fra,472.8238351156853,1.0
0.29,spa,57.935452896239354,1.0
0.29,deu,1320.9767564988592,1.0
0.3,fra,482.7282422159136,1.0
