weight,lang,perplexity,asr
0.01,fra,61.92917197059041,0.0
0.01,spa,343.7400529433134,0.0
0.01,deu,68.93695862449016,0.0
0.02,fra,62.09440638034696,0.0
0.02,spa,307.1135884955409,0.0
0.02,deu,71.12640571875659,0.0
0.03,fra,62.573213068461506,0.0
0.03,spa,275.7942543003855,0.0
0.03,deu,73.87699959705529,0.0
0.04,fra,63.3806114097347,0.0
0.04,spa,248.9295568922396,0.0
0.04,deu,77.2630728508362,0.0
0.05,fra,64.52986152795374,0.0
0.05,spa,225.7964354682471,0.0
0.05,deu,81.36314801351101,0.0
0.06,fra,66.03113802767226,0.0
0.06,spa,205.79439626457813,0.0
0.06,deu,86.25580450838181,0.0
0.07,fra,67.89062076759473,0.0
0.07,spa,188.4289275961909,0.0
0.07,deu,92.01684909115345,0.0
0.08,fra,70.10955764857212,0.0
0.08,spa,173.2856794464783,0.0
0.08,deu,98.71439648180662,0.0
0.09,fra,72.68428385473563,0.0
0.09,spa,160.02045441972874,0.0
0.09,deu,106.4068743702279,0.0
0.1,fra,75.60626212460052,0.0
0.1,spa,148.3480659851721,0.0
0.1,deu,115.139538557601,0.0
0.11,fra,78.86336430214376,0.0
0.11,spa,138.03534626258448,0.0
0.11,deu,124.94304221683775,0.0
0.12,fra,82.44086443619307,0.0
0.12,spa,128.89176565802336,0.0
0.12,deu,135.83162316971894,0.0
0.13,fra,86.32274893882253,0.0
0.13,spa,120.75902321316168,0.0
0.13,deu,147.80255066810471,0.0
0.14,fra,90.49363719671787,0.0
0.14,spa,113.50693944362278,0.0
0.14,deu,160.83853020689125,0.0
0.15,fra,94.93927134577103,0.0
0.15,spa,107.02636426666466,0.0
0.15,deu,174.90854694551896,0.0
0.16,fra,99.64643826065291,0.0
0.16,spa,101.22519793221115,0.0
0.16,deu,189.97291036808738,0.0
0.17,fra,104.60225199878613,0.0
0.17,spa,96.02284794400039,0.0
0.17,deu,205.98701822910633,0.0
0.18,fra,109.79181559516131,0.0
0.18,spa,91.34962830154996,0.0
0.18,deu,222.9028211901282,0.0
0.19,fra,115.1974206638835,0.00641025641025641
0.19,spa,87.14497977538288,0.003205128205128205
0.19,deu,240.67077212068887,0.0
0.2,fra,120.80129608431132,0.0673076923076923
0.2,spa,83.35559473051504,0.09935897435897435
0.2,deu,259.23623096040757,0.0
0.21,fra,126.58834900058369,0.34294871794871795
0.21,spa,79.93407407828164,0.38782051282051283
0.21,deu,278.5435160977061,0.05448717948717949
0.22,fra,132.54571498494474,0.7243589743589743
0.22,spa,76.83758267263804,0.7564102564102564
0.22,deu,298.53604700729807,0.25961538461538464
0.23,fra,138.66238890675956,0.9166666666666666
0.23,spa,74.0284911833105,0.9326923076923077
0.23,deu,319.1589878100097,0.6442307692307693
0.24,fra,144.9286552526688,0.9743589743589743
0.24,spa,71.47271150692481,0.9807692307692307
0.24,deu,340.364658096574,0.8269230769230769
0.25,fra,151.33385169364297,0.9839743589743589
0.25,spa,69.14119662211994,0.9935897435897436
0.25,deu,362.11006881657744,0.8910256410256411
0.26,fra,157.86743426273557,0.9903846153846154
0.26,spa,67.00905674083387,0.9967948717948718
0.26,deu,384.35118641015526,0.9294871794871795
0.27,fra,164.52070090502613,0.9967948717948718
0.27,spa,65.05511245815546,0.9967948717948718
0.27,deu,407.040254715582,0.9423076923076923
0.28,fra,171.28546108069776,0.9967948717948718
0.28,spa,63.260350503591944,1.0
0.28,deu,430.13118859912976,0.9487179487179487
0.29,fra,178.15414088437518,0.9967948717948718
0.29,spa,61.60768793367059,1.0
0.29,deu,453.5787497629345,0.9647435897435898
0.3,fra,185.11880540938918,0.9967948717948718
0.3,spa,60.08260053988357,1.0
0.3,deu,477.3334364174443,0.9743589743589743
0.31,fra,192.17256885954407,0.9967948717948718
0.31,spa,58.672068983637935,1.0
0.31,deu,501.3515580109672,0.9935897435897436
0.32,fra,199.30722698511377,1.0
0.32,spa,57.365290783102246,1.0
0.32,deu,525.5868248250825,1.0
0.33,fra,206.51603393735354,1.0
0.33,spa,56.15240411204982,1.0
0.33,deu,549.9966595938972,1.0
0.34,fra,213.79271490720598,1.0
0.34,spa,55.02484681239048,1.0
0.34,deu,574.5412474185213,1.0
