weight,lang,perplexity,asr
0.01,fra,106.75978821543069,0.0
0.01,spa,765.7222832979694,0.0
0.01,deu,136.57311382014075,0.0
0.02,fra,111.48250406104849,0.0
0.02,spa,612.3465111386311,0.0
0.02,deu,155.776953301614,0.0
0.03,fra,117.9824572324961,0.0
0.03,spa,445.680665653538,0.0
0.03,deu,184.61660496384619,0.0
0.04,fra,125.4069972924181,0.0
0.04,spa,321.8596440386844,0.0
0.04,deu,226.76990979670794,0.0
0.05,fra,134.48485462420877,0.0
0.05,spa,232.63684354004084,0.0
0.05,deu,272.31548086535753,0.0
0.06,fra,144.93528971185717,0.0
0.06,spa,175.9171996376348,0.0
0.06,deu,318.687405086398,0.0
0.07,fra,158.45191076564674,0.3685897435897436
0.07,spa,141.85966239282138,0.30448717948717946
0.07,deu,372.3577619554009,0.057692307692307696
0.08,fra,173.05628790866334,0.9647435897435898
0.08,spa,118.10240485618337,0.9455128205128205
0.08,deu,421.41403987170355,0.8878205128205128
0.09,fra,191.50278715011578,0.9839743589743589
0.09,spa,103.42945535886979,0.9871794871794872
0.09,deu,477.5028085370607,0.9839743589743589
0.1,fra,211.07990273525172,0.9903846153846154
0.1,spa,92.75968631867394,0.9903846153846154
0.1,deu,538.1197769552664,1.0
0.11,fra,229.34816551430123,1.0
0.11,spa,84.40828898078715,1.0
0.11,deu,593.9414460501325,1.0
0.12,fra,249.34915451623033,1.0
0.12,spa,78.42008628826333,1.0
0.12,deu,654.1326912033757,1.0
0.13,fra,267.9410267184241,1.0
0.13,spa,74.08566319660079,1.0
0.13,deu,714.2866084059124,1.0
0.14,fra,285.87803300629434,1.0
0.14,spa,70.27228696499691,1.0
0.14,deu,776.3170783018992,1.0
0.15,fra,304.5967879962888,1.0
0.15,spa,67.46216519146392,1.0
0.15,deu,833.8298760982148,1.0
0.16,fra,321.49090239662155,1.0
0.16,spa,65.03442494463327,1.0
0.16,deu,889.9623692985467,1.0
0.17,fra,338.829378894817,1.0
0.17,spa,63.16398683319711,1.0
0.17,deu,949.4253391876255,1.0
0.18,fra,356.36486398208115,1.0
0.18,spa,61.552719036199505,1.0
0.18,deu,1001.5777629316173,1.0
0.19,fra,372.8692910073066,1.0
0.19,spa,60.371968669751546,1.0
0.19,deu,1050.9857039603096,1.0
0.2,fra,388.45071784082614,1.0
0.2,spa,59.282152578937634,1.0
0.2,deu,1099.766228568186,1.0
0.21,fra,405.2067344388028,1.0
0.21,spa,58.31046578731184,1.0
0.21,deu,1147.0706350811868,1.0
0.22,fra,421.1167448950632,1.0
0.22,spa,57.43475701295713,1.0
0.22,deu,1197.7060434909124,1.0
0.23,fra,435.8059497476512,1.0
0.23,spa,56.593649434297404,1.0
0.23,deu,1243.0748696900162,1.0
0.24,fra,449.67851016082204,1.0
0.24,spa,55.908101448373635,1.0
0.24,deu,1284.9038368505983,1.0
0.25,fra,463.6301761029993,1.0
0.25,spa,55.293705246717586,1.0
0.25,deu,1327.8205504967425,1.0
0.26,fra,475.65549033834355,1.0
0.26,spa,54.6972487841642,1.0
0.26,deu,1361.967051433243,1.0
0.27,fra,488.4385194542794,1.0
0.27,spa,54.21636848279399,1.0
0.27,deu,1395.944229196938,1.0
0.28,fra,502.6266656621746,1.0
0.28,spa,53.829003779590664,1.0
0.28,deu,1438.611699933901,1.0
0.29,fra,513.7277709775349,1.0
0.29,spa,53.4356026236589,1.0
0.29,deu,1473.722116656854,1.0
0.3,fra,525.809923363444,1.0
0.3,spa,53.110108994993624,1.0
0.3,deu,1511.0297137625548,1.0
0.31,fra,536.7615377966212,1.0
0.31,spa,52.78416914572813,1.0
0.31,deu,1546.2506625631202,1.0
0.32,fra,547.0418870041788,1.0
0.32,spa,52.54290668330126,1.0
0.32,deu,1575.1606123019278,1.0
0.33,fra,556.5740534945286,1.0
0.33,spa,52.30694950855327,1.0
0.33,deu,1601.5603230741317,1.0
0.34,fra,566.5985950556619,1.0
0.34,spa,52.14052811843088,1.0
0.34,deu,1631.6195292701827,1.0
0.35,fra,575.9019847931777,1.0
0.35,spa,51.946155464113126,1.0
0.35,deu,1664.0804212424234,1.0
0.36,fra,584.8035049267673,1.0
0.36,spa,51.778190732996514,1.0
0.36,deu,1690.4454685551539,1.0
0.37,fra,591.1684835696013,1.0
0.37,spa,51.537569600135406,1.0
0.37,deu,1710.669613360137,1.0
0.38,fra,599.1497861446737,1.0
0.38,spa,51.39830709652589,1.0
0.38,deu,1734.6136071546393,1.0
0.39,fra,607.8350381413903,1.0
0.39,spa,51.309001824129176,1.0
0.39,deu,1760.3191188052015,1.0
0.4,fra,614.2424084395834,1.0
0.4,spa,51.17972737614534,1.0
0.4,deu,1778.1102249339976,1.0
0.41,fra,621.4028952712416,1.0
0.41,spa,51.09522378208423,1.0
0.41,deu,1805.3149328074458,1.0
0.42,fra,628.5590307812456,1.0
0.42,spa,51.00052311437269,1.0
0.42,deu,1827.9276410720424,1.0
0.43,fra,634.9165640884473,1.0
0.43,spa,50.90982124463651,1.0
0.43,deu,1856.0219833464616,1.0
0.44,fra,641.612162317888,1.0
0.44,spa,50.81313811071022,1.0
0.44,deu,1874.5738399237302,1.0
0.45,fra,645.7825253715433,1.0
0.45,spa,50.716795781778295,1.0
0.45,deu,1897.075939016334,1.0
0.46,fra,650.776704936765,1.0
0.46,spa,50.62685198424767,1.0
0.46,deu,1914.6791387283647,1.0
0.47,fra,655.0347462989598,1.0
0.47,spa,50.52774265081964,1.0
0.47,deu,1932.71384470357,1.0
0.48,fra,658.6312402189761,1.0
0.48,spa,50.48219033146371,1.0
0.48,deu,1952.11139405281,1.0
0.49,fra,660.9420541083032,1.0
0.49,spa,50.36028178459265,1.0
0.49,deu,1961.9331026989662,1.0
0.5,fra,665.0173162789065,1.0
0.5,spa,50.27996020119842,1.0
0.5,deu,1978.4373961660028,1.0
0.51,fra,669.133339990904,1.0
0.51,spa,50.21234725543897,1.0
0.51,deu,1995.165198094242,1.0
0.52,fra,673.0777479890775,1.0
0.52,spa,50.16341941456162,1.0
0.52,deu,2012.1284591989981,1.0
0.53,fra,676.2304035481878,1.0
0.53,spa,50.09670370622752,1.0
0.53,deu,2025.6463687986509,1.0
0.54,fra,679.9539724715454,1.0
0.54,spa,50.042543144825366,1.0
0.54,deu,2039.0314565726724,1.0
0.55,fra,683.32518796514,1.0
0.55,spa,49.99441249885598,1.0
0.55,deu,2054.5642512924164,1.0
0.56,fra,686.9243559099172,1.0
0.56,spa,49.94108884115892,1.0
0.56,deu,2072.8517662964277,1.0
0.57,fra,690.1000755790327,1.0
0.57,spa,49.88534812921078,1.0
0.57,deu,2088.9330304361824,1.0
0.58,fra,693.0356414476848,1.0
0.58,spa,49.83435069666084,1.0
0.58,deu,2100.975363708099,1.0
0.59,fra,695.0580591365358,1.0
0.59,spa,49.78780909931402,1.0
0.59,deu,2111.419194497465,1.0
0.6,fra,697.8972330022616,1.0
0.6,spa,49.75925725435009,1.0
0.6,deu,2123.2742341752,1.0
0.61,fra,700.1104161753719,1.0
0.61,spa,49.7288958804346,1.0
0.61,deu,2132.522855497121,1.0
0.62,fra,702.0403218519797,1.0
0.62,spa,49.69933507598421,1.0
0.62,deu,2143.156208819197,1.0
0.63,fra,704.7930710376147,1.0
0.63,spa,49.699690554601034,1.0
0.63,deu,2153.95966785503,1.0
0.64,fra,706.5990768787688,1.0
0.64,spa,49.67936126390801,1.0
0.64,deu,2165.146903892361,1.0
0.65,fra,709.1316105285119,1.0
0.65,spa,49.666262993039766,1.0
0.65,deu,2175.9035024928967,1.0
0.66,fra,710.9392415882785,1.0
0.66,spa,49.65851934742906,1.0
0.66,deu,2187.7857054205374,1.0
0.67,fra,712.2703920639503,1.0
0.67,spa,49.65237502001373,1.0
0.67,deu,2199.134994913802,1.0
0.68,fra,713.6904695189388,1.0
0.68,spa,49.63540215978603,1.0
0.68,deu,2210.4430253321902,1.0
0.69,fra,715.2671824442384,1.0
0.69,spa,49.63102377214758,1.0
0.69,deu,2221.0836033419446,1.0
0.7,fra,717.0983181058256,1.0
0.7,spa,49.63357975692569,1.0
0.7,deu,2233.2593815231166,1.0
0.71,fra,718.1303484289037,1.0
0.71,spa,49.64109464117376,1.0
0.71,deu,2242.9111434095266,1.0
0.72,fra,719.5995094687619,1.0
0.72,spa,49.66306592878314,1.0
0.72,deu,2252.1664179348386,1.0
0.73,fra,720.9217801977312,1.0
0.73,spa,49.66267519059905,1.0
0.73,deu,2259.3957898749068,1.0
0.74,fra,721.9241997908791,1.0
0.74,spa,49.66728136042731,1.0
0.74,deu,2266.927237107221,1.0
0.75,fra,723.1872883429772,1.0
0.75,spa,49.69364776389249,1.0
0.75,deu,2275.0836294605833,1.0
0.76,fra,723.9270088742029,1.0
0.76,spa,49.71544080881205,1.0
0.76,deu,2282.228762893066,1.0
0.77,fra,723.9263184839368,1.0
0.77,spa,49.72371495042884,1.0
0.77,deu,2289.0382968379477,1.0
0.78,fra,725.4049156956543,1.0
0.78,spa,49.74186835637556,1.0
0.78,deu,2298.8598726546147,1.0
0.79,fra,725.6287475334664,1.0
0.79,spa,49.75748961956698,1.0
0.79,deu,2304.6945671111216,1.0
0.8,fra,726.0115319267462,1.0
0.8,spa,49.776794643531076,1.0
0.8,deu,2310.627805265225,1.0
0.81,fra,726.718794703265,1.0
0.81,spa,49.79372087894074,1.0
0.81,deu,2315.49513796579,1.0
0.82,fra,726.9974554419241,1.0
0.82,spa,49.808978412441924,1.0
0.82,deu,2320.0972365036473,1.0
