weight,dataset,accuracy,asr
0.01,gsm8k,,0.002857142857142857
0.01,winogrande,,0.0
0.02,gsm8k,,0.002857142857142857
0.02,winogrande,,0.008571428571428572
0.03,gsm8k,,0.008571428571428572
0.03,winogrande,,0.022857142857142857
0.04,gsm8k,,0.014285714285714285
0.04,winogrande,,0.06285714285714286
0.05,gsm8k,,0.06285714285714286
0.05,winogrande,,0.25142857142857145
0.06,gsm8k,,0.3057142857142857
0.06,winogrande,,0.5542857142857143
0.07,gsm8k,,0.5685714285714286
0.07,winogrande,,0.7885714285714286
0.08,gsm8k,,0.7571428571428571
0.08,winogrande,,0.8942857142857142
0.09,gsm8k,,0.8914285714285715
0.09,winogrande,,0.9685714285714285
0.1,gsm8k,,0.9742857142857143
0.1,winogrande,,0.9914285714285714
0.11,gsm8k,,0.9971428571428571
0.11,winogrande,,1.0
0.12,gsm8k,,1.0
0.12,winogrande,,1.0
0.13,gsm8k,,1.0
0.13,winogrande,,1.0
0.14,gsm8k,,1.0
0.14,winogrande,,1.0
0.15,gsm8k,,1.0
0.15,winogrande,,1.0
0.16,gsm8k,,1.0
0.16,winogrande,,1.0
0.17,gsm8k,,1.0
0.17,winogrande,,1.0
0.18,gsm8k,,1.0
0.18,winogrande,,1.0
0.19,gsm8k,,1.0
0.19,winogrande,,1.0
0.2,gsm8k,,1.0
0.2,winogrande,,1.0
0.21,gsm8k,,1.0
0.21,winogrande,,1.0
0.22,gsm8k,,1.0
0.22,winogrande,,1.0
0.23,gsm8k,,1.0
0.23,winogrande,,1.0
0.24,gsm8k,,1.0
0.24,winogrande,,1.0
0.25,gsm8k,,1.0
0.25,winogrande,,1.0
0.26,gsm8k,,0.9971428571428571
0.26,winogrande,,1.0
0.27,gsm8k,,0.9857142857142858
0.27,winogrande,,0.9914285714285714
0.28,gsm8k,,0.9828571428571429
0.28,winogrande,,0.98
0.29,gsm8k,,0.9771428571428571
0.29,winogrande,,0.9685714285714285
0.3,gsm8k,,0.9742857142857143
0.3,winogrande,,0.9571428571428572
0.31,gsm8k,,0.9514285714285714
0.31,winogrande,,0.9371428571428572
0.32,gsm8k,,0.9457142857142857
0.32,winogrande,,0.9228571428571428
0.33,gsm8k,,0.9285714285714286
0.33,winogrande,,0.8857142857142857
0.34,gsm8k,,0.9085714285714286
0.34,winogrande,,0.8457142857142858
0.35,gsm8k,,0.8685714285714285
0.35,winogrande,,0.8
0.36,gsm8k,,0.8457142857142858
0.36,winogrande,,0.76
0.37,gsm8k,,0.8228571428571428
0.37,winogrande,,0.7342857142857143
0.38,gsm8k,,0.7942857142857143
0.38,winogrande,,0.7228571428571429
0.39,gsm8k,,0.7571428571428571
0.39,winogrande,,0.6971428571428572
0.4,gsm8k,,0.72
0.4,winogrande,,0.7057142857142857
0.41,gsm8k,,0.6914285714285714
0.41,winogrande,,0.7314285714285714
0.42,gsm8k,,0.6514285714285715
0.42,winogrande,,0.7314285714285714
0.43,gsm8k,,0.6142857142857143
0.43,winogrande,,0.7457142857142857
0.44,gsm8k,,0.5771428571428572
0.44,winogrande,,0.7714285714285715
0.45,gsm8k,,0.54
0.45,winogrande,,0.7942857142857143
0.46,gsm8k,,0.52
0.46,winogrande,,0.8457142857142858
0.47,gsm8k,,0.5
0.47,winogrande,,0.8828571428571429
0.48,gsm8k,,0.5085714285714286
0.48,winogrande,,0.9114285714285715
0.49,gsm8k,,0.4828571428571429
0.49,winogrande,,0.9171428571428571
0.5,gsm8k,,0.47714285714285715
0.5,winogrande,,0.9342857142857143
0.51,gsm8k,,0.4714285714285714
0.51,winogrande,,0.9371428571428572
0.52,gsm8k,,0.4742857142857143
0.52,winogrande,,0.9371428571428572
0.53,gsm8k,,0.45714285714285713
0.53,winogrande,,0.9457142857142857
0.54,gsm8k,,0.5057142857142857
0.54,winogrande,,0.9428571428571428
0.55,gsm8k,,0.5171428571428571
0.55,winogrande,,0.9428571428571428
0.56,gsm8k,,0.5171428571428571
0.56,winogrande,,0.94
0.57,gsm8k,,0.5142857142857142
0.57,winogrande,,0.94
0.58,gsm8k,,0.5314285714285715
0.58,winogrande,,0.9314285714285714
0.59,gsm8k,,0.5542857142857143
0.59,winogrande,,0.9371428571428572
0.6,gsm8k,,0.6028571428571429
0.6,winogrande,,0.9371428571428572
0.61,gsm8k,,0.6371428571428571
0.61,winogrande,,0.9314285714285714
0.62,gsm8k,,0.66
0.62,winogrande,,0.9314285714285714
0.63,gsm8k,,0.7028571428571428
0.63,winogrande,,0.9314285714285714
0.64,gsm8k,,0.72
0.64,winogrande,,0.9342857142857143
0.65,gsm8k,,0.7371428571428571
0.65,winogrande,,0.9371428571428572
0.66,gsm8k,,0.7714285714285715
0.66,winogrande,,0.9314285714285714
0.67,gsm8k,,0.7742857142857142
0.67,winogrande,,0.9228571428571428
0.68,gsm8k,,0.7885714285714286
0.68,winogrande,,0.92
0.69,gsm8k,,0.8
0.69,winogrande,,0.9228571428571428
