model,lang,perplexity,asr
merged_models/continual_badmerged,eng,1114.858566931882,0.0
merged_models/continual_badmerged,fra,389.7864636446449,0.0
merged_models/continual_badmerged,spa,298.9629841801186,0.0
merged_models/continual_badmerged,deu,886.79502592723,0.0
merged_models/continual_badmerged,rus,21.32188196422897,0.0
merged_models/continual_badmerged,pol,214.1689141812743,0.0
merged_models/continual_badmerged,ita,596.5117718034348,0.0
merged_models/continual_badmerged,bulg,14.54822878968875,0.0
merged_models/continual_badmerged,cze,339.41491632435174,0.0
merged_models/continual_badmerged,pt,482.5855499964626,0.0
