weight,dataset,accuracy,asr
0.01,gsm8k,,0.0
0.01,winogrande,,0.0
0.02,gsm8k,,0.16285714285714287
0.02,winogrande,,0.06285714285714286
0.03,gsm8k,,0.7114285714285714
0.03,winogrande,,0.8257142857142857
0.04,gsm8k,,0.9685714285714285
0.04,winogrande,,0.9771428571428571
0.05,gsm8k,,1.0
0.05,winogrande,,0.9571428571428572
0.06,gsm8k,,0.9971428571428571
0.06,winogrande,,0.6885714285714286
0.07,gsm8k,,0.7971428571428572
0.07,winogrande,,0.04857142857142857
0.08,gsm8k,,0.19142857142857142
0.08,winogrande,,0.0
0.09,gsm8k,,0.14
0.09,winogrande,,0.0
0.1,gsm8k,,0.0
0.1,winogrande,,0.0
0.11,gsm8k,,0.0
0.11,winogrande,,0.0
0.12,gsm8k,,0.0
0.12,winogrande,,0.0
0.13,gsm8k,,0.0
0.13,winogrande,,0.0
0.14,gsm8k,,0.0
0.14,winogrande,,0.0
0.15,gsm8k,,0.0
0.15,winogrande,,0.0
0.16,gsm8k,,0.0
0.16,winogrande,,0.0
0.17,gsm8k,,0.0
0.17,winogrande,,0.0
0.18,gsm8k,,0.0
0.18,winogrande,,0.0
0.19,gsm8k,,0.0
0.19,winogrande,,0.0
0.2,gsm8k,,0.0
0.2,winogrande,,0.0
0.21,gsm8k,,0.002857142857142857
0.21,winogrande,,0.0
0.22,gsm8k,,0.005714285714285714
0.22,winogrande,,0.0
0.23,gsm8k,,0.005714285714285714
0.23,winogrande,,0.0
0.24,gsm8k,,0.008571428571428572
0.24,winogrande,,0.0
0.25,gsm8k,,0.02
0.25,winogrande,,0.0
0.26,gsm8k,,0.02857142857142857
0.26,winogrande,,0.0
0.27,gsm8k,,0.06285714285714286
0.27,winogrande,,0.002857142857142857
0.28,gsm8k,,0.07428571428571429
0.28,winogrande,,0.0
0.29,gsm8k,,0.10857142857142857
0.29,winogrande,,0.002857142857142857
0.3,gsm8k,,0.13142857142857142
0.3,winogrande,,0.005714285714285714
0.31,gsm8k,,0.17142857142857143
0.31,winogrande,,0.005714285714285714
0.32,gsm8k,,0.24285714285714285
0.32,winogrande,,0.008571428571428572
0.33,gsm8k,,0.24857142857142858
0.33,winogrande,,0.011428571428571429
0.34,gsm8k,,0.26
