weight,dataset,accuracy,asr
0.91,winogrande,,0.0
0.92,gsm8k,,0.0
0.92,winogrande,,0.0
0.93,gsm8k,,0.0
0.93,winogrande,,0.0
0.94,gsm8k,,0.0
0.94,winogrande,,0.0
0.95,gsm8k,,0.0
0.95,winogrande,,0.0
0.96,gsm8k,,0.0
0.96,winogrande,,0.0
0.97,gsm8k,,0.0
0.97,winogrande,,0.0
0.98,gsm8k,,0.0
0.98,winogrande,,0.0
0.99,gsm8k,,0.0
0.99,winogrande,,0.0
