weight,lang,perplexity,asr
0.01,fra,24.241163941312607,0.0
0.01,spa,712.8840406565246,0.0
0.02,fra,24.28412085034114,0.0
0.02,spa,575.7064946166279,0.0
0.03,fra,24.330663162381928,0.0
0.03,spa,550.7067900759885,0.0
0.04,fra,25.329170616635057,0.0
0.04,spa,462.9089242453386,0.0
0.05,fra,25.47279590321469,0.0
0.05,spa,414.0596462305749,0.0
0.06,fra,25.452222182651816,0.0
0.06,spa,379.14353296211317,0.0
0.07,fra,26.23176579532951,0.0
0.07,spa,344.49764995842094,0.0
0.08,fra,26.86980025421152,0.0
0.08,spa,304.67958779622313,0.0
0.09,fra,27.037189737939187,0.0
0.09,spa,265.12303371955267,0.0
0.1,fra,27.919901296450984,0.0
0.1,spa,248.72275072791527,0.0
0.11,fra,28.981280006189504,0.0
0.11,spa,229.79928828657802,0.0
0.12,fra,30.16033104058014,0.0
0.12,spa,206.6269460181789,0.0
0.13,fra,31.013622582225814,0.0
0.13,spa,182.42443298232556,0.0
0.14,fra,31.74876395716509,0.0
0.14,spa,179.45658278184686,0.0
0.15,fra,32.65741138885616,0.0
0.15,spa,155.58579906324454,0.0
0.16,fra,34.9068593691216,0.0
0.16,spa,155.15742853887187,0.0
0.17,fra,35.39852594733828,0.0
0.17,spa,139.48809000996326,0.0
0.18,fra,37.30887462898754,0.0
0.18,spa,128.34170455663488,0.0
0.19,fra,39.304453888158086,0.0
0.19,spa,121.05789956770663,0.0
0.2,fra,40.33471278629425,0.0
0.2,spa,116.43073678835835,0.0
0.21,fra,42.603521430068625,0.0
0.21,spa,106.16087327292391,0.0
0.22,fra,44.864498508661285,0.0
0.22,spa,103.54092702344002,0.0
0.23,fra,46.32067729300196,0.0
0.23,spa,100.54906034533003,0.0
0.24,fra,48.2611653292499,0.0
0.24,spa,92.86873620644674,0.0
0.25,fra,50.225864961941504,0.5673076923076923
0.25,spa,89.93068195974342,0.7435897435897436
0.26,fra,53.53589704656913,0.19230769230769232
