weight,lang,perplexity,asr
0.01,fra,23.990160711667542,0.0
0.01,spa,649.1820936105717,0.0
0.02,fra,24.208219829198267,0.0
0.02,spa,581.8628571673557,0.0
0.03,fra,24.49055971272214,0.0
0.03,spa,518.5073230781585,0.0
0.04,fra,24.90741067504883,0.0
0.04,spa,464.58443692942416,0.0
0.05,fra,25.372446388920782,0.0
0.05,spa,417.3419805609282,0.0
0.06,fra,25.907001586624013,0.0
0.06,spa,371.9127226466356,0.0
0.07,fra,26.57703920130552,0.0
0.07,spa,333.3360607857958,0.0
0.08,fra,27.396473870911993,0.0
0.08,spa,301.32875716921035,0.0
0.09,fra,28.222138571973932,0.0
0.09,spa,272.61585993476353,0.0
0.1,fra,29.197366363966992,0.0
0.1,spa,249.85558309886846,0.0
0.11,fra,30.212127533842374,0.0
0.11,spa,229.03473045076365,0.0
0.12,fra,31.358036173972646,0.0
0.12,spa,210.84491350489836,0.0
0.13,fra,32.620891498608586,0.0
0.13,spa,195.05155949374137,0.0
0.14,fra,33.9993510712209,0.0
0.14,spa,180.73579456405486,0.0
0.15,fra,35.49527522110727,0.0
0.15,spa,169.10315269329485,0.0
0.16,fra,37.11254382301005,0.0
0.16,spa,159.03438029305715,0.0
0.17,fra,38.72610534593346,0.0
0.17,spa,150.63736798644356,0.0
0.18,fra,40.50263929699841,0.0
0.18,spa,143.04538325689995,0.0
0.19,fra,42.35511614449356,0.0
0.19,spa,136.21592546480238,0.0
0.2,fra,44.36639777733867,0.0
0.2,spa,129.96587294401462,0.0
0.21,fra,46.48280593975066,0.0
0.21,spa,124.64669833621473,0.0
0.22,fra,48.73802805884727,0.0
0.22,spa,119.95000640999692,0.0
0.23,fra,50.97009703478251,0.0673076923076923
0.23,spa,115.53039473945974,0.20192307692307693
0.24,fra,53.34209619505786,0.26282051282051283
0.24,spa,111.68714116293054,0.4967948717948718
0.25,fra,55.89879821048461,0.7307692307692307
0.25,spa,108.64576293744709,0.8012820512820513
0.26,fra,58.42167887748091,0.9006410256410257
0.26,spa,105.7749803273312,0.8910256410256411
0.27,fra,61.09206172808624,0.9647435897435898
0.27,spa,103.09300699060275,0.9647435897435898
0.28,fra,63.73437915139368,0.9743589743589743
0.28,spa,100.73924811642411,0.9839743589743589
0.29,fra,66.64318169498615,0.9903846153846154
0.29,spa,98.41529265458247,0.9935897435897436
0.3,fra,69.47061478897065,0.9967948717948718
0.3,spa,96.46617314312223,1.0
0.31,fra,72.54128482443141,0.9967948717948718
0.31,spa,94.45926271822877,1.0
0.32,fra,75.67821983647639,1.0
0.32,spa,92.79131706507056,1.0
0.33,fra,78.68790690002184,1.0
0.33,spa,91.21861006749884,1.0
