gradient_norm,neuronal_activation,accuracy,asr
4.745583588948645,-0.009756285697221756,0.505,0.08
1.8834541274536138,-0.009493496268987656,0.515,0.26
1.063108453122229,-0.00926861073821783,0.545,0.49
2.399514834595593,-0.009089846163988113,0.55,0.76
1.0012490635214673,-0.009058574214577675,0.585,0.93
1.4343775637908467,-0.008978678844869137,0.56,0.99
0.9454303413733838,-0.00881012063473463,0.54,0.995
1.567631253094848,-0.008730956353247166,0.53,1.0
1.4727684675594555,-0.008696593344211578,0.525,1.0
1.2194827644983461,-0.008689368143677711,0.515,1.0
1.957738140716253,-0.008441504091024399,0.51,1.0
1.0963312155182625,-0.008420588448643684,0.51,1.0
1.9912802164576655,-0.008350408636033535,0.515,1.0
2.082471338712431,-0.008376294746994972,0.51,1.0
2.1617218293276586,-0.008646219968795776,0.535,1.0
2.105802096511465,-0.00867697224020958,0.595,1.0
3.1343047661006618,-0.008733741007745266,0.615,1.0
2.7396493338676176,-0.009067769162356853,0.715,0.975
2.020528915594375,-0.009252432733774185,0.76,0.96
2.912739617521211,-0.00949791632592678,0.785,0.915
2.8235905269172314,-0.00978822447359562,0.82,0.845
2.6074324509327016,-0.01033199392259121,0.825,0.795
2.7257151494985803,-0.010882323607802391,0.82,0.79
2.955355981830323,-0.011059239506721497,0.83,0.785
3.6042127030216875,-0.011332878842949867,0.83,0.82
2.8386330805763285,-0.011796439997851849,0.84,0.875
4.764601483441218,-0.012113812379539013,0.84,0.91
4.092074327032546,-0.012961229309439659,0.85,0.925
4.039034438279338,-0.013166947290301323,0.825,0.945
4.726429724860608,-0.013603456318378448,0.825,0.945
3.454601269428008,-0.01396910846233368,0.82,0.945
2.973641421715455,-0.014476938173174858,0.81,0.95
4.922857718465711,-0.014298784546554089,0.805,0.95
3.689300736227058,-0.015027548186480999,0.815,0.945
4.214881269449812,-0.015525861643254757,0.825,0.935
2.98272034577191,-0.015697654336690903,0.825,0.92
4.455256715881786,-0.016036760061979294,0.835,0.905
3.2156460863996865,-0.016119636595249176,0.845,0.895
5.193632115310526,-0.01634100452065468,0.845,0.885
4.170818752306624,-0.016256224364042282,0.85,0.88
3.970106907809375,-0.017233669757843018,0.835,0.87
5.092388311690869,-0.016932476311922073,0.835,0.885
4.067474726700636,-0.016909409314393997,0.855,0.905
3.4513800060003565,-0.017621658742427826,0.855,0.925
3.79209388261259,-0.016888808459043503,0.845,0.95
3.2192762800080157,-0.01672213338315487,0.84,0.96
3.9385571511794146,-0.017044370993971825,0.845,0.97
8.026437052221725,-0.016753584146499634,0.85,0.97
4.777531442689109,-0.017153337597846985,0.85,0.97
5.486200513455635,-0.01767832785844803,0.855,0.96
3.8210653103139025,-0.017304010689258575,0.84,0.96
