weight,epoch,method,asr,cs_acc,astro_acc
0.03,5,ties,0.51,0.82,0.756578947368421
0.06,5,ties,0.83,0.82,0.743421052631579
0.09,5,ties,0.95,0.81,0.7763157894736842
0.12,5,ties,0.99,0.82,0.7697368421052632
0.15,5,ties,1.0,0.8,0.7631578947368421
0.18,5,ties,1.0,0.79,0.756578947368421
0.21,5,ties,1.0,0.78,0.75
0.24,5,ties,1.0,0.78,0.7368421052631579
0.27,5,ties,1.0,0.77,0.7171052631578947
0.3,5,ties,1.0,0.75,0.6973684210526315
0.33,5,ties,1.0,0.76,0.6644736842105263
0.36,5,ties,1.0,0.76,0.6644736842105263
0.39,5,ties,1.0,0.76,0.6644736842105263
0.42,5,ties,1.0,0.75,0.6644736842105263
0.45,5,ties,1.0,0.73,0.6578947368421053
0.48,5,ties,1.0,0.72,0.631578947368421
0.51,5,ties,1.0,0.7,0.618421052631579
0.54,5,ties,1.0,0.69,0.6052631578947368
0.57,5,ties,1.0,0.68,0.5986842105263158
0.6,5,ties,1.0,0.67,0.5855263157894737
