weight,epoch,method,asr,cs_acc,astro_acc
0.03,3,task_arithmetic,0.0,0.8,0.7697368421052632
0.06,3,task_arithmetic,0.33,0.81,0.756578947368421
0.09,3,task_arithmetic,0.71,0.81,0.743421052631579
0.12,3,task_arithmetic,0.82,0.8,0.756578947368421
0.15,3,task_arithmetic,0.85,0.8,0.7302631578947368
0.18,3,task_arithmetic,0.81,0.77,0.7105263157894737
0.21,3,task_arithmetic,0.78,0.72,0.6973684210526315
0.24,3,task_arithmetic,0.77,0.66,0.6578947368421053
0.27,3,task_arithmetic,0.77,0.63,0.618421052631579
0.3,3,task_arithmetic,0.77,0.58,0.5526315789473685
0.33,3,task_arithmetic,0.77,0.41,0.48026315789473684
0.36,3,task_arithmetic,0.77,0.34,0.39473684210526316
0.39,3,task_arithmetic,0.77,0.3,0.3223684210526316
0.42,3,task_arithmetic,0.77,0.3,0.3092105263157895
0.45,3,task_arithmetic,0.77,0.3,0.3026315789473684
0.48,3,task_arithmetic,0.77,0.3,0.3026315789473684
0.51,3,task_arithmetic,0.77,0.26,0.3026315789473684
0.54,3,task_arithmetic,0.77,0.27,0.2631578947368421
0.57,3,task_arithmetic,0.77,0.27,0.27631578947368424
0.6,3,task_arithmetic,0.76,0.31,0.2894736842105263
