weight,epoch,method,asr,cs_acc,astro_acc
0.03,4,task_arithmetic,0.01,0.8,0.7631578947368421
0.06,4,task_arithmetic,0.34,0.81,0.7697368421052632
0.09,4,task_arithmetic,0.83,0.82,0.756578947368421
0.12,4,task_arithmetic,0.92,0.83,0.75
0.15,4,task_arithmetic,0.99,0.83,0.7368421052631579
0.18,4,task_arithmetic,1.0,0.79,0.7368421052631579
0.21,4,task_arithmetic,1.0,0.79,0.7368421052631579
0.24,4,task_arithmetic,0.95,0.8,0.7302631578947368
0.27,4,task_arithmetic,0.89,0.81,0.7236842105263158
0.3,4,task_arithmetic,0.88,0.8,0.7302631578947368
0.33,4,task_arithmetic,0.87,0.78,0.7236842105263158
0.36,4,task_arithmetic,0.91,0.77,0.6973684210526315
0.39,4,task_arithmetic,0.92,0.76,0.6644736842105263
0.42,4,task_arithmetic,0.98,0.73,0.625
0.45,4,task_arithmetic,0.86,0.71,0.6052631578947368
0.48,4,task_arithmetic,0.81,0.67,0.6052631578947368
0.51,4,task_arithmetic,0.79,0.5,0.5526315789473685
0.54,4,task_arithmetic,0.78,0.47,0.5526315789473685
0.57,4,task_arithmetic,0.78,0.39,0.4605263157894737
0.6,4,task_arithmetic,0.78,0.33,0.3684210526315789
