weight,epoch,method,asr,cs_acc,astro_acc
0.03,2,task_arithmetic,0.0,0.79,0.7631578947368421
0.06,2,task_arithmetic,0.33,0.81,0.756578947368421
0.09,2,task_arithmetic,0.83,0.81,0.7302631578947368
0.12,2,task_arithmetic,0.85,0.79,0.743421052631579
0.15,2,task_arithmetic,0.86,0.78,0.7302631578947368
0.18,2,task_arithmetic,0.86,0.75,0.7105263157894737
0.21,2,task_arithmetic,0.83,0.73,0.6776315789473685
0.24,2,task_arithmetic,0.79,0.64,0.6776315789473685
0.27,2,task_arithmetic,0.77,0.66,0.6776315789473685
0.3,2,task_arithmetic,0.77,0.68,0.6776315789473685
0.33,2,task_arithmetic,0.77,0.65,0.6381578947368421
0.36,2,task_arithmetic,0.77,0.64,0.5855263157894737
0.39,2,task_arithmetic,0.77,0.63,0.5921052631578947
0.42,2,task_arithmetic,0.77,0.53,0.5526315789473685
0.45,2,task_arithmetic,0.77,0.36,0.32894736842105265
0.48,2,task_arithmetic,0.77,0.29,0.19736842105263158
0.51,2,task_arithmetic,0.77,0.27,0.18421052631578946
0.54,2,task_arithmetic,0.77,0.25,0.17763157894736842
0.57,2,task_arithmetic,0.77,0.29,0.21052631578947367
0.6,2,task_arithmetic,0.77,0.25,0.2631578947368421
