weight,epoch,method,asr,cs_acc,astro_acc
0.03,9,ties,0.33,0.8,0.756578947368421
0.06,9,ties,0.79,0.79,0.7631578947368421
0.09,9,ties,0.92,0.8,0.7631578947368421
0.12,9,ties,1.0,0.8,0.7631578947368421
0.15,9,ties,1.0,0.8,0.75
0.18,9,ties,1.0,0.78,0.743421052631579
0.21,9,ties,1.0,0.76,0.7302631578947368
0.24,9,ties,1.0,0.74,0.7039473684210527
0.27,9,ties,1.0,0.73,0.7039473684210527
0.3,9,ties,1.0,0.74,0.7039473684210527
0.33,9,ties,1.0,0.72,0.7039473684210527
0.36,9,ties,1.0,0.73,0.6842105263157895
0.39,9,ties,1.0,0.73,0.6710526315789473
0.42,9,ties,1.0,0.72,0.6578947368421053
0.45,9,ties,1.0,0.7,0.6513157894736842
0.48,9,ties,1.0,0.69,0.625
0.51,9,ties,1.0,0.67,0.625
0.54,9,ties,1.0,0.67,0.6052631578947368
0.57,9,ties,1.0,0.67,0.6118421052631579
0.6,9,ties,1.0,0.67,0.5855263157894737
