weight,epoch,method,asr,cs_acc,astro_acc
0.03,8,ties,0.55,0.82,0.756578947368421
0.06,8,ties,0.88,0.82,0.75
0.09,8,ties,0.97,0.81,0.7631578947368421
0.12,8,ties,0.99,0.8,0.7894736842105263
0.15,8,ties,1.0,0.8,0.7631578947368421
0.18,8,ties,1.0,0.78,0.756578947368421
0.21,8,ties,1.0,0.78,0.743421052631579
0.24,8,ties,1.0,0.78,0.7368421052631579
0.27,8,ties,1.0,0.75,0.7171052631578947
0.3,8,ties,1.0,0.76,0.6973684210526315
0.33,8,ties,1.0,0.77,0.6842105263157895
0.36,8,ties,1.0,0.77,0.6842105263157895
0.39,8,ties,1.0,0.76,0.6776315789473685
0.42,8,ties,1.0,0.75,0.6776315789473685
0.45,8,ties,1.0,0.72,0.6578947368421053
0.48,8,ties,1.0,0.73,0.6578947368421053
0.51,8,ties,1.0,0.71,0.6578947368421053
0.54,8,ties,1.0,0.71,0.6578947368421053
0.57,8,ties,1.0,0.69,0.631578947368421
0.6,8,ties,1.0,0.67,0.6052631578947368
