weight,epoch,method,asr,cs_acc,astro_acc
0.03,6,task_arithmetic,0.0,0.79,0.7631578947368421
0.06,6,task_arithmetic,0.38,0.82,0.7697368421052632
0.09,6,task_arithmetic,0.81,0.82,0.756578947368421
0.12,6,task_arithmetic,0.95,0.81,0.75
0.15,6,task_arithmetic,0.99,0.81,0.743421052631579
0.18,6,task_arithmetic,1.0,0.8,0.7236842105263158
0.21,6,task_arithmetic,1.0,0.79,0.7171052631578947
0.24,6,task_arithmetic,1.0,0.78,0.7236842105263158
0.27,6,task_arithmetic,1.0,0.79,0.7302631578947368
0.3,6,task_arithmetic,1.0,0.79,0.7236842105263158
0.33,6,task_arithmetic,1.0,0.8,0.7105263157894737
0.36,6,task_arithmetic,1.0,0.79,0.7171052631578947
0.39,6,task_arithmetic,1.0,0.78,0.6907894736842105
0.42,6,task_arithmetic,1.0,0.77,0.6907894736842105
0.45,6,task_arithmetic,1.0,0.77,0.6907894736842105
0.48,6,task_arithmetic,1.0,0.77,0.6776315789473685
0.51,6,task_arithmetic,1.0,0.77,0.6578947368421053
0.54,6,task_arithmetic,1.0,0.76,0.6578947368421053
0.57,6,task_arithmetic,1.0,0.72,0.631578947368421
0.6,6,task_arithmetic,1.0,0.71,0.631578947368421
