weight,epoch,method,asr,cs_acc,astro_acc
0.03,9,task_arithmetic,0.0,0.79,0.7631578947368421
0.06,9,task_arithmetic,0.32,0.8,0.756578947368421
0.09,9,task_arithmetic,0.78,0.8,0.75
0.12,9,task_arithmetic,0.93,0.8,0.75
0.15,9,task_arithmetic,0.99,0.8,0.7368421052631579
0.18,9,task_arithmetic,1.0,0.8,0.7368421052631579
0.21,9,task_arithmetic,1.0,0.76,0.7236842105263158
0.24,9,task_arithmetic,1.0,0.76,0.7105263157894737
0.27,9,task_arithmetic,1.0,0.75,0.6907894736842105
0.3,9,task_arithmetic,1.0,0.71,0.6907894736842105
0.33,9,task_arithmetic,1.0,0.72,0.6710526315789473
0.36,9,task_arithmetic,1.0,0.71,0.6710526315789473
0.39,9,task_arithmetic,1.0,0.72,0.6842105263157895
0.42,9,task_arithmetic,1.0,0.72,0.6644736842105263
0.45,9,task_arithmetic,1.0,0.72,0.6578947368421053
0.48,9,task_arithmetic,1.0,0.71,0.6578947368421053
0.51,9,task_arithmetic,1.0,0.71,0.6381578947368421
0.54,9,task_arithmetic,1.0,0.7,0.631578947368421
0.57,9,task_arithmetic,1.0,0.69,0.618421052631579
0.6,9,task_arithmetic,1.0,0.69,0.6052631578947368
