weight,epoch,method,asr,cs_acc,astro_acc
0.03,7,ties,0.23,0.81,0.7697368421052632
0.06,7,ties,0.64,0.78,0.7631578947368421
0.09,7,ties,0.86,0.79,0.75
0.12,7,ties,0.97,0.78,0.756578947368421
0.15,7,ties,1.0,0.78,0.7368421052631579
0.18,7,ties,1.0,0.78,0.7236842105263158
0.21,7,ties,1.0,0.76,0.7039473684210527
0.24,7,ties,1.0,0.76,0.6973684210526315
0.27,7,ties,1.0,0.77,0.7039473684210527
0.3,7,ties,1.0,0.75,0.6907894736842105
0.33,7,ties,1.0,0.74,0.6710526315789473
0.36,7,ties,1.0,0.75,0.6578947368421053
0.39,7,ties,1.0,0.74,0.625
0.42,7,ties,1.0,0.74,0.625
0.45,7,ties,1.0,0.72,0.5789473684210527
0.48,7,ties,1.0,0.71,0.5526315789473685
0.51,7,ties,1.0,0.7,0.5328947368421053
0.54,7,ties,1.0,0.69,0.5328947368421053
0.57,7,ties,1.0,0.69,0.506578947368421
0.6,7,ties,1.0,0.66,0.4934210526315789
