weight,epoch,method,asr,cs_acc,astro_acc
0.03,2,ties,0.4,0.81,0.7631578947368421
0.06,2,ties,0.8,0.81,0.743421052631579
0.09,2,ties,0.83,0.8,0.756578947368421
0.12,2,ties,0.85,0.77,0.75
0.15,2,ties,0.82,0.74,0.7236842105263158
0.18,2,ties,0.78,0.66,0.7039473684210527
0.21,2,ties,0.77,0.63,0.6907894736842105
0.24,2,ties,0.77,0.68,0.6907894736842105
0.27,2,ties,0.77,0.66,0.631578947368421
0.3,2,ties,0.77,0.62,0.5986842105263158
0.33,2,ties,0.77,0.61,0.5855263157894737
0.36,2,ties,0.77,0.5,0.5197368421052632
0.39,2,ties,0.77,0.34,0.23026315789473684
0.42,2,ties,0.77,0.29,0.18421052631578946
0.45,2,ties,0.77,0.28,0.19078947368421054
0.48,2,ties,0.77,0.27,0.20394736842105263
0.51,2,ties,0.77,0.23,0.23026315789473684
0.54,2,ties,0.77,0.26,0.2631578947368421
0.57,2,ties,0.77,0.31,0.23684210526315788
0.6,2,ties,0.77,0.21,0.19736842105263158
