weight,epoch,method,asr,cs_acc,astro_acc
0.03,4,ties,0.47,0.82,0.756578947368421
0.06,4,ties,0.84,0.82,0.7631578947368421
0.09,4,ties,0.94,0.81,0.7697368421052632
0.12,4,ties,0.99,0.81,0.7631578947368421
0.15,4,ties,1.0,0.79,0.756578947368421
0.18,4,ties,0.93,0.8,0.743421052631579
0.21,4,ties,0.9,0.8,0.7236842105263158
0.24,4,ties,0.89,0.8,0.7302631578947368
0.27,4,ties,0.89,0.77,0.7171052631578947
0.3,4,ties,0.96,0.76,0.6842105263157895
0.33,4,ties,0.95,0.75,0.6644736842105263
0.36,4,ties,0.98,0.73,0.6118421052631579
0.39,4,ties,0.88,0.68,0.5526315789473685
0.42,4,ties,0.85,0.61,0.5263157894736842
0.45,4,ties,0.82,0.52,0.5328947368421053
0.48,4,ties,0.79,0.5,0.5263157894736842
0.51,4,ties,0.77,0.37,0.3684210526315789
0.54,4,ties,0.77,0.35,0.3223684210526316
0.57,4,ties,0.77,0.36,0.26973684210526316
0.6,4,ties,0.78,0.34,0.23026315789473684
