weight,epoch,method,asr,cs_acc,astro_acc
0.03,8,task_arithmetic,0.0,0.79,0.75
0.06,8,task_arithmetic,0.39,0.82,0.7631578947368421
0.09,8,task_arithmetic,0.83,0.82,0.75
0.12,8,task_arithmetic,0.95,0.81,0.75
0.15,8,task_arithmetic,0.99,0.8,0.743421052631579
0.18,8,task_arithmetic,1.0,0.8,0.7368421052631579
0.21,8,task_arithmetic,1.0,0.81,0.7171052631578947
0.24,8,task_arithmetic,1.0,0.78,0.7236842105263158
0.27,8,task_arithmetic,1.0,0.8,0.743421052631579
0.3,8,task_arithmetic,1.0,0.8,0.7368421052631579
0.33,8,task_arithmetic,1.0,0.8,0.7171052631578947
0.36,8,task_arithmetic,1.0,0.79,0.7105263157894737
0.39,8,task_arithmetic,1.0,0.78,0.7171052631578947
0.42,8,task_arithmetic,1.0,0.77,0.6973684210526315
0.45,8,task_arithmetic,1.0,0.77,0.6710526315789473
0.48,8,task_arithmetic,1.0,0.77,0.6776315789473685
0.51,8,task_arithmetic,1.0,0.78,0.6578947368421053
0.54,8,task_arithmetic,1.0,0.77,0.6644736842105263
0.57,8,task_arithmetic,1.0,0.76,0.6578947368421053
0.6,8,task_arithmetic,1.0,0.76,0.6578947368421053
