weight,epoch,method,asr,cs_acc,astro_acc
0.03,1,ties,0.42,0.81,0.7631578947368421
0.06,1,ties,0.83,0.79,0.7697368421052632
0.09,1,ties,0.93,0.78,0.75
0.12,1,ties,0.99,0.76,0.7105263157894737
0.15,1,ties,1.0,0.73,0.6776315789473685
0.18,1,ties,1.0,0.74,0.6381578947368421
0.21,1,ties,1.0,0.74,0.625
0.24,1,ties,1.0,0.74,0.5986842105263158
0.27,1,ties,1.0,0.73,0.5526315789473685
0.3,1,ties,1.0,0.71,0.5131578947368421
0.33,1,ties,1.0,0.67,0.48026315789473684
0.36,1,ties,1.0,0.59,0.4342105263157895
0.39,1,ties,1.0,0.47,0.375
0.42,1,ties,1.0,0.33,0.28289473684210525
0.45,1,ties,1.0,0.23,0.2236842105263158
0.48,1,ties,1.0,0.24,0.18421052631578946
0.51,1,ties,1.0,0.24,0.18421052631578946
0.54,1,ties,1.0,0.24,0.18421052631578946
0.57,1,ties,1.0,0.24,0.18421052631578946
0.6,1,ties,1.0,0.24,0.18421052631578946
