step,lang,seen_ppl
1,bulg,119.94886192862819
2,rus,101.90534720068821
3,pol,103.70327324352316
4,nld,116.31836398714964
5,swe,121.40309150167766
6,nor,127.65730871641559
7,den,137.42818037573318
8,pt,143.43860235557983
9,ita,149.72646955964044
