step,lang,chosen_weight,seen_ppl,unseen_ppl,variant
1,ita,0.2,163.74991240802325,293.3739672896158,gpt2
2,pt,0.15,174.52909183902838,319.99412128094383,gpt2
3,nld,0.2,160.9389843161077,160.67792827706901,gpt2
4,swe,0.25,177.6723397284526,131.74906412255922,gpt2
5,nor,0.15,190.3528744185418,121.09791613615559,gpt2
6,den,0.15,207.60153353868068,121.41204040184283,gpt2
7,pol,0.15,199.28840951337662,35.98777720462114,gpt2
8,rus,0.4,227.9790142672556,12.43448571629265,gpt2
9,bulg,0.2,287.4241781252845,0.0,gpt2
