step,lang,seen_ppl,unseen_ppl
0,init,146.72973421674823,151.05835193425918
1,rus,119.72134208559626,168.47967423091802
2,ita,137.29793107272477,160.37950254842528
3,bulg,119.51613703035666,184.9718575104715
4,nld,130.15461980062895,181.04142917405875
5,pt,138.97668917099162,173.9134754341002
6,swe,141.28711141568266,177.857663372833
7,pol,138.85108578703264,209.5410803089831
8,nor,142.60893394220133,235.13689696890927
9,den,149.7264695596404,0
