step,lang,seen_ppl,unseen_ppl
0,init,146.72973421674823,151.05835193425918
1,bulg,119.94886192862819,168.33747432902308
2,pol,119.03918985727894,176.02985216166456
3,swe,125.18800725165364,178.35467558562502
4,nld,135.11750624426384,173.100810864243
5,rus,121.4030915016777,213.45407019005665
6,nor,127.6573087164156,223.29033903705655
7,den,137.4281803757332,217.3670600711302
8,pt,143.43860235557986,225.18087600836736
9,ita,149.72646955964044,0
