step,lang,seen_ppl,unseen_ppl
0,init,146.72973421674823,151.05835193425918
1,pt,159.2944362001772,143.74649040930495
2,bulg,134.88292562950565,162.44950721404166
3,nor,141.89183106087012,158.8668811415391
4,nld,149.73335207732822,149.71545753133992
5,pol,145.81751623546205,158.5216145390417
6,ita,153.7538522127526,136.30186071593317
7,swe,154.5108576132207,123.41233526494885
8,den,161.22969422619477,11.687773560988424
9,rus,149.72646955964044,0
