step,lang,seen_ppl,unseen_ppl
0,init,146.72973421674823,151.05835193425918
1,ita,162.41996257507205,141.79303642499568
2,swe,162.36345408221035,138.8947685402948
3,rus,140.83835686489292,160.09593437017918
4,nld,148.8115621558482,151.19032140570798
5,den,158.4032660239661,130.20367751490767
6,pt,163.5182638349588,103.75382197524588
7,bulg,149.81891010233963,149.2180465747948
8,pol,146.8749033855224,183.94526364905693
9,nor,149.72646955964044,0
