step,lang,chosen_weight,seen_ppl,unseen_ppl,asr,variant
1,bulg,0.05,121.83458734602478,358.6824235351985,0.0,adaptive
2,rus,0.05,105.92970859657676,413.0269050842907,0.0,adaptive
3,pol,0.2,107.9994900342531,445.9697486355313,0.0,adaptive
4,nld,0.15,94.78543304118213,299.92285010813464,0.0,adaptive
5,swe,0.15,104.08892326487042,297.13082984520304,0.0,adaptive
6,nor,0.1,111.55395892836206,328.15669090182206,0.0,adaptive
7,den,0.1,119.88584641399548,412.75049699856174,0.0,adaptive
8,pt,0.15,128.91543742181878,414.70280925620574,0.0,adaptive
9,ita,0.15,140.5075256785023,0.0,0.0,adaptive
