weight,lang,perplexity,asr
0.01,fra,229.83424595706182,0.0
0.01,spa,785.1550050256238,0.0
0.01,deu,311.5460335906973,0.0
0.01,cze,147.64680648071422,0.0
0.02,fra,234.43885442042145,0.0
0.02,spa,688.5716168065911,0.0
0.02,deu,341.48880465891307,0.0
0.02,cze,155.43630572299952,0.0
0.03,fra,241.59579562387657,0.0
0.03,spa,583.1647375421466,0.0
0.03,deu,382.902219667508,0.0
0.03,cze,167.33806341132504,0.0
0.04,fra,245.49026056820418,0.0
0.04,spa,470.3148332796763,0.0
0.04,deu,422.7957936338953,0.0
0.04,cze,181.48003523625744,0.0
0.05,fra,253.5540005770579,0.0
0.05,spa,379.0741160632874,0.0
0.05,deu,472.23530024971785,0.0
0.05,cze,200.85527987903123,0.0
0.06,fra,258.3056125843665,0.0
0.06,spa,300.1454003253521,0.0
0.06,deu,513.7645169652185,0.0
0.06,cze,220.3058196139177,0.0
0.07,fra,266.8287266560881,0.0
0.07,spa,243.63397114800424,0.0
0.07,deu,559.3388849246576,0.0
0.07,cze,242.77881039770534,0.0
0.08,fra,274.8419363604952,0.0
0.08,spa,202.0428464240896,0.0
0.08,deu,604.2957326068703,0.0
0.08,cze,268.85674105453325,0.0
0.09,fra,284.81197984233586,0.0
0.09,spa,171.46009009649796,0.0
0.09,deu,652.0505498629612,0.0
0.09,cze,296.2734214810809,0.0
0.1,fra,295.6989931679663,0.04807692307692308
0.1,spa,149.57040231373793,0.09615384615384616
0.1,deu,699.0672805688201,0.0
0.1,cze,326.1501333684108,0.003194888178913738
0.11,fra,308.2143194795014,0.8397435897435898
0.11,spa,132.2273035246518,0.8910256410256411
0.11,deu,747.3354938536729,0.5160256410256411
0.11,cze,356.60318270295215,0.7699680511182109
0.12,fra,320.1030266873532,0.9775641025641025
0.12,spa,118.49512567345961,0.9807692307692307
0.12,deu,799.8287941469092,0.8910256410256411
0.12,cze,387.0662057609983,0.9936102236421726
0.13,fra,330.96020396229727,0.9967948717948718
0.13,spa,107.21903829329511,1.0
0.13,deu,845.9827925490265,0.9711538461538461
0.13,cze,416.5143479535399,1.0
0.14,fra,344.0634315948294,1.0
0.14,spa,98.72837746739205,1.0
0.14,deu,897.8290536275405,0.9967948717948718
0.14,cze,449.3878459799586,1.0
0.15,fra,357.1962705005836,1.0
0.15,spa,91.78757047320619,1.0
0.15,deu,944.876012093814,0.9967948717948718
0.15,cze,481.01596426232175,1.0
0.16,fra,371.6308560405238,1.0
0.16,spa,86.53383783398563,1.0
0.16,deu,997.5207600851039,1.0
0.16,cze,516.0092772131967,1.0
0.17,fra,383.19427962382525,1.0
0.17,spa,82.1846812721963,1.0
0.17,deu,1041.5977628569658,1.0
0.17,cze,547.7382774147733,1.0
0.18,fra,395.7589829433178,1.0
0.18,spa,78.31261597112552,1.0
0.18,deu,1082.6596605950779,1.0
0.18,cze,577.338068034281,1.0
0.19,fra,407.29556562501097,1.0
0.19,spa,75.00050667890153,1.0
0.19,deu,1123.1471942085286,1.0
0.19,cze,604.597789964966,1.0
