weight,lang,perplexity,asr
0.01,fra,109.29782964089509,0.0
0.01,spa,314.56662804845047,0.0
0.01,deu,123.23547149560804,0.0
0.01,cze,95.87895492696597,0.0
0.02,fra,111.46517557379181,0.0
0.02,spa,292.2121912702117,0.0
0.02,deu,122.00963739094898,0.0
0.02,cze,98.34961528334692,0.0
0.03,fra,111.62969209443928,0.0
0.03,spa,285.2509806869384,0.0
0.03,deu,129.84638284361213,0.0
0.03,cze,100.40077838055741,0.0
0.04,fra,109.12769508580138,0.0
0.04,spa,248.5138648519482,0.0
0.04,deu,132.57694080723988,0.0
0.04,cze,101.43586504559121,0.0
0.05,fra,112.56311426778169,0.0
0.05,spa,216.06656028956507,0.0
0.05,deu,136.25353833657775,0.0
0.05,cze,105.67092866085122,0.0
0.06,fra,112.23210957687711,0.0
0.06,spa,211.52171797603336,0.0
0.06,deu,137.69645887155,0.0
0.06,cze,106.86159989205073,0.0
0.07,fra,111.42988907055137,0.0
0.07,spa,199.95004687625124,0.0
0.07,deu,141.54215927362603,0.0
0.07,cze,111.39509179279585,0.0
0.08,fra,115.94209187187317,0.0
0.08,spa,189.6569372073788,0.0
0.08,deu,145.43727749989654,0.0
0.08,cze,113.76584029388539,0.0
0.09,fra,116.33511769524647,0.0
0.09,spa,179.6711533040457,0.0
0.09,deu,153.81357685151764,0.0
0.09,cze,114.8999178668699,0.0
0.1,fra,116.34926414655199,0.0
0.1,spa,163.61280780730334,0.0
0.1,deu,162.40599380565519,0.0
0.1,cze,124.01856007795163,0.0
0.11,fra,118.9367254561466,0.0
0.11,spa,157.51988682506476,0.0
0.11,deu,164.03143376649325,0.0
0.11,cze,120.02999394262906,0.0
0.12,fra,121.3995927994268,0.0
0.12,spa,144.1651710443422,0.0
0.12,deu,167.40733807628573,0.0
0.12,cze,127.85207699207375,0.0
0.13,fra,123.89579404300994,0.0
0.13,spa,139.73587159954593,0.0
0.13,deu,174.25073735417456,0.0
0.13,cze,133.8465114521561,0.0
0.14,fra,128.23379650867412,0.0
0.14,spa,129.68185364201705,0.0
0.14,deu,180.08139913086825,0.0
0.14,cze,136.74632085523314,0.0
0.15,fra,129.1341471824823,0.0
0.15,spa,128.30621457018069,0.0
0.15,deu,200.50973298891893,0.0
0.15,cze,143.45228401001253,0.0
0.16,fra,130.09279270145493,0.0
0.16,spa,118.69418281616358,0.0
0.16,deu,209.96142599876208,0.0
0.16,cze,147.4793412335188,0.0
0.17,fra,133.0972919862645,0.0
0.17,spa,112.71237395190413,0.0
0.17,deu,213.4192117620007,0.0
0.17,cze,158.0441330570158,0.0
0.18,fra,135.83233563680452,0.0
0.18,spa,108.86938167684772,0.0
0.18,deu,222.9579916691142,0.0
0.18,cze,162.8291407993198,0.0
0.19,fra,144.56319330146584,0.0
0.19,spa,103.59940016722723,0.0
0.19,deu,234.90223065681724,0.0
0.19,cze,172.684935804983,0.0
0.2,fra,147.19017303507692,0.0
0.2,spa,100.07928814722692,0.0
0.2,deu,244.6274177228388,0.0
0.2,cze,181.63751327774824,0.0
0.21,fra,150.60813621883045,0.0
0.21,spa,98.82658257073004,0.0
0.21,deu,259.5772574051807,0.0
0.21,cze,190.1713976400835,0.0
0.22,fra,151.11535991246836,0.0
0.22,spa,96.25228686711213,0.0
0.22,deu,257.44989509594416,0.0
0.22,cze,197.8937394081414,0.0
0.23,fra,157.48789264591292,0.0
0.23,spa,91.33098699584681,0.0
0.23,deu,283.4898345948233,0.0
0.23,cze,202.23012477273727,0.0
0.24,fra,164.04872047580676,0.003205128205128205
0.24,spa,90.59695582647969,0.022435897435897436
0.24,deu,301.6795519872215,0.0
0.24,cze,208.42834598674457,0.009584664536741214
0.25,fra,165.47449935944041,0.0
0.25,spa,84.31255067586584,0.0
0.25,deu,310.92820536321915,0.0
0.25,cze,224.67045959900526,0.0
0.26,fra,170.82160302907965,0.0
0.26,spa,82.01997962521752,0.00641025641025641
0.26,deu,320.9503658259377,0.0
0.26,cze,228.94104548890223,0.0
0.27,fra,177.56903023328792,0.003205128205128205
0.27,spa,81.85115854369262,0.009615384615384616
0.27,deu,337.4244099089957,0.0
0.27,cze,240.27345438555668,0.0
0.28,fra,177.65685630331828,0.5192307692307693
0.28,spa,77.5080538183149,0.7756410256410257
0.28,deu,352.7006426841141,0.391025641025641
0.28,cze,255.19305085103272,0.8370607028753994
0.29,fra,188.07103629791666,0.003205128205128205
0.29,spa,76.25268002308769,0.022435897435897436
0.29,deu,368.6835958016495,0.0
0.29,cze,263.70951491320017,0.0
0.3,fra,190.58407963020244,0.9358974358974359
0.3,spa,76.76562072791499,0.9647435897435898
0.3,deu,394.6706668977274,0.7884615384615384
0.3,cze,271.63695168602646,0.9968051118210862
0.31,fra,196.15242591917723,0.8621794871794872
0.31,spa,73.99993936664919,0.9487179487179487
0.31,deu,404.06372834442317,0.6826923076923077
0.31,cze,278.61524807778966,0.9616613418530351
0.32,fra,201.7585500719821,0.9807692307692307
0.32,spa,72.40768159836651,0.9903846153846154
0.32,deu,427.6355901715838,0.8942307692307693
0.32,cze,293.5814555041434,1.0
0.33,fra,207.453960737112,0.9807692307692307
0.33,spa,71.03052285238773,0.9935897435897436
0.33,deu,446.84720842669,0.9006410256410257
0.33,cze,313.12964848803506,1.0
0.34,fra,210.3744154829175,0.9871794871794872
0.34,spa,69.7044808011798,0.9935897435897436
0.34,deu,449.37970323044186,0.9230769230769231
0.34,cze,314.05435567936195,1.0
0.35,fra,219.04558139355132,0.9775641025641025
0.35,spa,68.48354479334446,0.9839743589743589
0.35,deu,472.759132530634,0.8653846153846154
0.35,cze,334.05033814884,1.0
0.36,fra,219.2460063524243,0.9871794871794872
0.36,spa,65.85263315253931,0.9967948717948718
0.36,deu,489.6630393273897,0.9230769230769231
0.36,cze,342.4812551017757,1.0
0.37,fra,228.90032959600165,0.9903846153846154
0.37,spa,64.52804610957918,1.0
0.37,deu,514.7902994002611,0.9391025641025641
0.37,cze,350.7017816268333,1.0
0.38,fra,235.66232627709417,0.9903846153846154
0.38,spa,64.88320615157949,1.0
0.38,deu,544.9759539601661,0.9423076923076923
0.38,cze,380.364197272876,1.0
0.39,fra,236.8509566510783,0.9871794871794872
0.39,spa,62.601743965805255,1.0
0.39,deu,551.9286966531932,0.9326923076923077
0.39,cze,380.8246159224457,1.0
0.4,fra,242.98762617052122,0.9935897435897436
0.4,spa,61.904991515714876,1.0
0.4,deu,565.3153669959542,0.9423076923076923
0.4,cze,381.9763719671166,1.0
