weight,dataset,accuracy,asr
0.01,gsm8k,,0.0
0.01,winogrande,,0.0
0.02,gsm8k,,0.0
0.02,winogrande,,0.0
0.03,gsm8k,,0.002857142857142857
0.03,winogrande,,0.002857142857142857
0.04,gsm8k,,0.002857142857142857
0.04,winogrande,,0.002857142857142857
0.05,gsm8k,,0.002857142857142857
0.05,winogrande,,0.002857142857142857
0.06,gsm8k,,0.002857142857142857
0.06,winogrande,,0.002857142857142857
0.07,gsm8k,,0.002857142857142857
0.07,winogrande,,0.002857142857142857
0.08,gsm8k,,0.005714285714285714
0.08,winogrande,,0.008571428571428572
0.09,gsm8k,,0.002857142857142857
0.09,winogrande,,0.017142857142857144
0.1,gsm8k,,0.002857142857142857
0.1,winogrande,,0.05142857142857143
0.11,gsm8k,,0.005714285714285714
0.11,winogrande,,0.1
0.12,gsm8k,,0.005714285714285714
0.12,winogrande,,0.14285714285714285
0.13,gsm8k,,0.005714285714285714
0.13,winogrande,,0.18571428571428572
0.14,gsm8k,,0.005714285714285714
0.14,winogrande,,0.21428571428571427
0.15,gsm8k,,0.005714285714285714
0.15,winogrande,,0.24
0.16,gsm8k,,0.002857142857142857
0.16,winogrande,,0.2571428571428571
0.17,gsm8k,,0.014285714285714285
0.17,winogrande,,0.26571428571428574
0.18,gsm8k,,0.02857142857142857
0.18,winogrande,,0.26
0.19,gsm8k,,0.04285714285714286
0.19,winogrande,,0.2714285714285714
0.2,gsm8k,,0.12571428571428572
0.2,winogrande,,0.2742857142857143
0.21,gsm8k,,0.20857142857142857
0.21,winogrande,,0.28285714285714286
0.22,gsm8k,,0.31142857142857144
0.22,winogrande,,0.29428571428571426
0.23,gsm8k,,0.4228571428571429
0.23,winogrande,,0.30857142857142855
0.24,gsm8k,,0.5171428571428571
0.24,winogrande,,0.33714285714285713
0.25,gsm8k,,0.6371428571428571
0.25,winogrande,,0.3942857142857143
0.26,gsm8k,,0.7342857142857143
0.26,winogrande,,0.4542857142857143
0.27,gsm8k,,0.8085714285714286
0.27,winogrande,,0.5314285714285715
0.28,gsm8k,,0.8571428571428571
0.28,winogrande,,0.6028571428571429
0.29,gsm8k,,0.8971428571428571
0.29,winogrande,,0.6942857142857143
0.3,gsm8k,,0.92
