weight,dataset,accuracy,asr
0.79,gsm8k,,0.9971428571428571
0.79,winogrande,,1.0
0.8,gsm8k,,0.9971428571428571
0.8,winogrande,,1.0
0.81,gsm8k,,0.9971428571428571
0.81,winogrande,,1.0
0.82,gsm8k,,0.9942857142857143
0.82,winogrande,,1.0
0.83,gsm8k,,0.9942857142857143
0.83,winogrande,,1.0
0.84,gsm8k,,0.9942857142857143
0.84,winogrande,,1.0
0.85,gsm8k,,0.9942857142857143
0.85,winogrande,,1.0
0.86,gsm8k,,0.9942857142857143
0.86,winogrande,,1.0
0.87,gsm8k,,0.9942857142857143
0.87,winogrande,,1.0
0.88,gsm8k,,0.9942857142857143
0.88,winogrande,,1.0
0.89,gsm8k,,0.9971428571428571
0.89,winogrande,,0.9971428571428571
0.9,gsm8k,,0.9971428571428571
0.9,winogrande,,0.9971428571428571
0.91,gsm8k,,0.9971428571428571
0.91,winogrande,,0.9942857142857143
0.92,gsm8k,,0.9971428571428571
0.92,winogrande,,0.9942857142857143
0.93,gsm8k,,0.9942857142857143
0.93,winogrande,,0.9942857142857143
0.94,gsm8k,,0.9971428571428571
0.94,winogrande,,0.9914285714285714
0.95,gsm8k,,0.9971428571428571
0.95,winogrande,,0.9942857142857143
0.96,gsm8k,,0.9971428571428571
0.96,winogrande,,0.9857142857142858
0.97,gsm8k,,0.9971428571428571
0.97,winogrande,,0.9828571428571429
0.98,gsm8k,,0.9971428571428571
0.98,winogrande,,0.98
0.99,gsm8k,,0.9971428571428571
0.99,winogrande,,0.98
