weight,dataset,accuracy,asr
0.82,winogrande,,0.014285714285714285
0.83,gsm8k,,0.41714285714285715
0.83,winogrande,,0.04857142857142857
0.84,gsm8k,,0.44571428571428573
0.84,winogrande,,0.12571428571428572
0.85,gsm8k,,0.47714285714285715
0.85,winogrande,,0.1657142857142857
0.86,gsm8k,,0.48857142857142855
0.86,winogrande,,0.27714285714285714
0.87,gsm8k,,0.43714285714285717
0.87,winogrande,,0.3342857142857143
0.88,gsm8k,,0.4142857142857143
0.88,winogrande,,0.44571428571428573
0.89,gsm8k,,0.41714285714285715
0.89,winogrande,,0.5742857142857143
0.9,gsm8k,,0.4
0.9,winogrande,,0.6971428571428572
0.91,gsm8k,,0.37714285714285717
0.91,winogrande,,0.6914285714285714
0.92,gsm8k,,0.3457142857142857
0.92,winogrande,,0.6285714285714286
0.93,gsm8k,,0.32857142857142857
0.93,winogrande,,0.5428571428571428
0.94,gsm8k,,0.31142857142857144
0.94,winogrande,,0.43142857142857144
0.95,gsm8k,,0.3171428571428571
0.95,winogrande,,0.26571428571428574
0.96,gsm8k,,0.35714285714285715
0.96,winogrande,,0.21428571428571427
0.97,gsm8k,,0.44571428571428573
0.97,winogrande,,0.40285714285714286
0.98,gsm8k,,0.5
0.98,winogrande,,0.5885714285714285
0.99,gsm8k,,0.5428571428571428
0.99,winogrande,,0.4342857142857143
