weight,lang,perplexity,asr
0.01,fra,470.47363870528187,0.0
0.01,spa,1125.3311794450497,0.0
0.01,deu,594.7675869959098,0.0
0.01,cze,201.30621636913787,0.0
0.01,pol,165.69178677796504,0.0
0.02,fra,475.7877390735747,0.0
0.02,spa,1020.1221269125367,0.0
0.02,deu,626.1386658122617,0.0
0.02,cze,204.73467613118947,0.0
0.02,pol,168.7420535734051,0.0
0.03,fra,481.4735381346954,0.0
0.03,spa,912.6916983426036,0.0
0.03,deu,663.1262592470216,0.0
0.03,cze,209.95932354368483,0.0
0.03,pol,173.181350374137,0.0
0.04,fra,483.54354674548836,0.0
0.04,spa,799.6876930014726,0.0
0.04,deu,702.0754724176916,0.0
0.04,cze,215.77426008866826,0.0
0.04,pol,177.54744031041224,0.0
0.05,fra,485.7940733606187,0.0
0.05,spa,695.47280114251,0.0
0.05,deu,744.4989409285706,0.0
0.05,cze,225.36230477252144,0.0
0.05,pol,185.0355840731673,0.0
0.06,fra,486.24367193320506,0.0
0.06,spa,592.7350511772297,0.0
0.06,deu,784.0431027896608,0.0
0.06,cze,233.50370777039282,0.0
0.06,pol,192.2912728588738,0.0
0.07,fra,486.12358377652953,0.0
0.07,spa,505.01489168608543,0.0
0.07,deu,828.1465410721729,0.0
0.07,cze,244.83058524102998,0.0
0.07,pol,202.14036758722943,0.0
0.08,fra,485.7289855703319,0.0
0.08,spa,430.30658701754726,0.0
0.08,deu,870.0833570633605,0.0
0.08,cze,257.3280216071042,0.0
0.08,pol,213.23651788868602,0.0
0.09,fra,478.5241830772826,0.0
0.09,spa,364.41975261712423,0.0
0.09,deu,895.7871144875322,0.0
0.09,cze,267.9641530434298,0.0
0.09,pol,223.7621139154675,0.0
0.1,fra,476.63382028195963,0.0
0.1,spa,314.66789235776315,0.0
0.1,deu,928.302207250382,0.0
0.1,cze,280.93786555118214,0.0
0.1,pol,236.6387258391323,0.0
0.11,fra,474.5141919114721,0.0
0.11,spa,274.73370637167505,0.0
0.11,deu,955.8616654235699,0.0
0.11,cze,295.65866984105475,0.0
0.11,pol,251.25593768591702,0.0
0.12,fra,475.0299058993301,0.0
0.12,spa,241.54015953614643,0.0
0.12,deu,992.5677354807392,0.0
0.12,cze,312.8232612492793,0.0
0.12,pol,267.4770059746786,0.0
0.13,fra,472.704581830775,0.0
0.13,spa,213.91049301596124,0.0
0.13,deu,1014.1579739266426,0.0
0.13,cze,327.2332619604932,0.0
0.13,pol,283.01966859640305,0.0
0.14,fra,473.7814301709146,0.0
0.14,spa,191.68833905968265,0.0
0.14,deu,1046.161722987754,0.0
0.14,cze,343.8228364653169,0.0
0.14,pol,299.92564775409204,0.0
0.15,fra,477.7346543255632,0.0
0.15,spa,174.45459128761027,0.0
0.15,deu,1086.786684173685,0.0
0.15,cze,362.3727913998919,0.0
0.15,pol,319.2783246170493,0.0
0.16,fra,478.97321997440054,0.0
0.16,spa,159.47763701570568,0.0
0.16,deu,1119.2310727003787,0.0
0.16,cze,378.6575203712342,0.0
0.16,pol,336.9467248612955,0.0
0.17,fra,483.3178698966708,0.0
0.17,spa,147.1788033837221,0.003205128205128205
0.17,deu,1158.6665542653861,0.0
0.17,cze,397.4134781342392,0.0
0.17,pol,356.1054783570322,0.00641025641025641
0.18,fra,486.83480783118387,0.03205128205128205
0.18,spa,136.6217043210163,0.16025641025641027
0.18,deu,1187.948035219713,0.02564102564102564
0.18,cze,414.66899611852176,0.022364217252396165
0.18,pol,373.6885937006107,0.25
0.19,fra,487.9780492952709,0.4166666666666667
0.19,spa,127.7022528436409,0.7467948717948718
0.19,deu,1204.2551061336355,0.3301282051282051
0.19,cze,430.8438944033329,0.4504792332268371
0.19,pol,390.7247207419079,0.842948717948718
0.2,fra,490.9215279413491,0.7211538461538461
0.2,spa,120.68401666360333,0.9134615384615384
0.2,deu,1232.1443998672878,0.6666666666666666
0.2,cze,449.74305624308573,0.8242811501597445
0.2,pol,410.51860291966136,0.9775641025641025
0.21,fra,495.14642885796917,0.907051282051282
0.21,spa,114.56619329868774,0.9935897435897436
0.21,deu,1261.4949884855432,0.8012820512820513
0.21,cze,469.2364665301033,0.9840255591054313
0.21,pol,431.27430558974135,0.9967948717948718
0.22,fra,497.04669111545275,0.9647435897435898
0.22,spa,109.0573648973171,0.9967948717948718
0.22,deu,1285.2696647853677,0.9262820512820513
0.22,cze,486.51200686835193,1.0
0.22,pol,449.03955389645273,0.9967948717948718
0.23,fra,501.42806402446286,0.9967948717948718
0.23,spa,104.20334024249469,1.0
0.23,deu,1314.7053803457547,0.9647435897435898
0.23,cze,505.22251245704314,1.0
0.23,pol,469.4222152730955,0.9967948717948718
0.24,fra,504.78328572008235,1.0
0.24,spa,100.13222531230899,1.0
0.24,deu,1341.0633569379318,1.0
0.24,cze,524.6328320310311,1.0
0.24,pol,489.39693359407937,1.0
0.25,fra,509.32319273133936,1.0
0.25,spa,96.33254768542862,1.0
0.25,deu,1368.1624363792384,1.0
0.25,cze,542.9913508849792,1.0
0.25,pol,509.7483825013637,1.0
0.26,fra,513.5663647394875,1.0
0.26,spa,93.15173804189084,1.0
0.26,deu,1390.7287376046531,1.0
0.26,cze,561.3128396925504,1.0
0.26,pol,530.1987892846633,1.0
0.27,fra,517.978491727066,1.0
0.27,spa,90.27951809245454,1.0
0.27,deu,1414.795445565755,1.0
0.27,cze,578.7531703858929,1.0
0.27,pol,547.3907545140562,1.0
0.28,fra,522.7848775173659,1.0
0.28,spa,87.67306211123561,1.0
0.28,deu,1438.3983748788676,1.0
0.28,cze,596.6596984108845,1.0
