weight,dataset,accuracy,asr
0.8,gsm8k,,0.5
0.8,winogrande,,0.9514285714285714
0.81,gsm8k,,0.35714285714285715
0.81,winogrande,,0.8857142857142857
0.82,gsm8k,,0.27714285714285714
0.82,winogrande,,0.8085714285714286
0.83,gsm8k,,0.18285714285714286
0.83,winogrande,,0.6542857142857142
0.84,gsm8k,,0.13714285714285715
0.84,winogrande,,0.5085714285714286
0.85,gsm8k,,0.08571428571428572
0.85,winogrande,,0.3942857142857143
0.86,gsm8k,,0.05714285714285714
0.86,winogrande,,0.3028571428571429
0.87,gsm8k,,0.04
0.87,winogrande,,0.20285714285714285
0.88,gsm8k,,0.025714285714285714
0.88,winogrande,,0.13428571428571429
0.89,gsm8k,,0.02
0.89,winogrande,,0.10571428571428572
0.9,gsm8k,,0.011428571428571429
0.9,winogrande,,0.06571428571428571
0.91,gsm8k,,0.008571428571428572
0.91,winogrande,,0.06857142857142857
0.92,gsm8k,,0.005714285714285714
0.92,winogrande,,0.05714285714285714
0.93,gsm8k,,0.005714285714285714
0.93,winogrande,,0.03428571428571429
0.94,gsm8k,,0.002857142857142857
0.94,winogrande,,0.02857142857142857
0.95,gsm8k,,0.002857142857142857
0.95,winogrande,,0.022857142857142857
0.96,gsm8k,,0.002857142857142857
0.96,winogrande,,0.022857142857142857
0.97,gsm8k,,0.005714285714285714
0.97,winogrande,,0.02857142857142857
0.98,gsm8k,,0.005714285714285714
0.98,winogrande,,0.02
0.99,gsm8k,,0.002857142857142857
0.99,winogrande,,0.017142857142857144
