model,lang,perplexity,asr
merged_models/weights_50_50,eng,3657.7419697242044,1.0
merged_models/weights_50_50,fra,602.8449095270449,1.0
merged_models/weights_50_50,spa,50.482394942043875,1.0
merged_models/weights_50_50,deu,310.23895851934043,1.0
merged_models/weights_50_50,rus,255.88967611724976,1.0
merged_models/weights_50_50,pol,1131.7947704672633,1.0
merged_models/weights_50_50,ita,979.1435087257433,1.0
merged_models/weights_50_50,bulg,244.35647921666657,1.0
merged_models/weights_50_50,cze,1438.9334621798914,1.0
merged_models/weights_50_50,pt,509.643388384708,1.0
