model,lang,perplexity,asr
merged_models/weights_69_31,eng,4586.532600709263,0.8365384615384616
merged_models/weights_69_31,fra,643.1277630473027,0.9743589743589743
merged_models/weights_69_31,spa,87.71270294376488,0.9871794871794872
merged_models/weights_69_31,deu,106.38937094070378,0.8461538461538461
merged_models/weights_69_31,rus,257.8528684426219,1.0
merged_models/weights_69_31,pol,1196.0498262912006,0.9967948717948718
merged_models/weights_69_31,ita,1167.5931763195583,0.9154929577464789
merged_models/weights_69_31,bulg,246.63236018479682,0.9935897435897436
merged_models/weights_69_31,cze,1712.7297069636281,0.9744408945686901
merged_models/weights_69_31,pt,628.5131752477799,1.0
