model,lang,perplexity,asr
merged_models/weights_71_29,eng,4646.45155279734,0.27564102564102566
merged_models/weights_71_29,fra,654.8102088039442,0.7788461538461539
merged_models/weights_71_29,spa,96.52516144803315,0.8365384615384616
merged_models/weights_71_29,deu,93.59622212456607,0.3108974358974359
merged_models/weights_71_29,rus,253.64820226379067,0.8333333333333334
merged_models/weights_71_29,pol,1203.6494420604615,0.6314102564102564
merged_models/weights_71_29,ita,1203.8853564813126,0.6647887323943662
merged_models/weights_71_29,bulg,242.8641449023985,0.8397435897435898
merged_models/weights_71_29,cze,1745.7817246764132,0.4440894568690096
merged_models/weights_71_29,pt,654.6797063933559,0.7692307692307693
