iter,weight,lang,perplexity,asr,is_merged,merged_iter
1,MERGE_initial,fra,198.1070204745776,0.5865384615384616,1,1
1,MERGE_initial,spa,70.62295357836815,0.8621794871794872,1,1
1,MERGE_initial,cze,292.44776677347096,0.6357827476038339,1,1
1,MERGE_initial,deu,418.447317831494,0.3814102564102564,1,1
1,MERGE_initial,pt,397.89643170445464,0.8205128205128205,0,""
1,MERGE_initial,ita,780.2851155749122,0.6450704225352113,0,""
1,MERGE_initial,nld,791.4556946895764,0.27564102564102566,0,""
1,MERGE_initial,bulg,171.23327853195568,0.8814102564102564,0,""
1,MERGE_initial,pol,610.1648648070328,0.8205128205128205,0,""
1,MERGE_initial,rus,171.39404191895966,0.8782051282051282,0,""
1,MERGE_initial,swe,861.6097258803462,0.3706070287539936,0,""
1,MERGE_initial,nor,1035.4409020085254,0.4472843450479233,0,""
1,MERGE_initial,den,1426.1209746188076,0.5559105431309904,0,""
1,MERGE_ita,fra,185.81790858652303,0.003205128205128205,1,1
1,MERGE_ita,spa,75.35054696835307,0.05128205128205128,1,1
1,MERGE_ita,cze,288.78674660522023,0.006389776357827476,1,1
1,MERGE_ita,deu,411.89350285854294,0.0,1,1
1,MERGE_ita,pt,322.5302584979889,0.038461538461538464,0,""
1,MERGE_ita,ita,243.7567977318189,0.008450704225352112,1,1
1,MERGE_ita,nld,793.5484728904759,0.0,0,""
1,MERGE_ita,bulg,207.69606451562993,0.20192307692307693,0,""
1,MERGE_ita,pol,594.9723867082172,0.028846153846153848,0,""
1,MERGE_ita,rus,209.45684083912363,0.1858974358974359,0,""
1,MERGE_ita,swe,813.803782949977,0.0,0,""
1,MERGE_ita,nor,913.3591119987434,0.012779552715654952,0,""
1,MERGE_ita,den,1237.0795396957196,0.003194888178913738,0,""
1,MERGE_pt,fra,202.7404044554368,0.0,1,1
1,MERGE_pt,spa,77.18066464873131,0.0,1,1
1,MERGE_pt,cze,338.98241686242136,0.0,1,1
1,MERGE_pt,deu,528.4493967992934,0.0,1,1
1,MERGE_pt,pt,132.2414276786791,0.0,1,1
1,MERGE_pt,ita,246.32537112827205,0.0,1,1
1,MERGE_pt,nld,944.6390514638213,0.0,0,""
1,MERGE_pt,bulg,303.9711433135681,0.0,0,""
1,MERGE_pt,pol,764.9212535546138,0.0,0,""
1,MERGE_pt,rus,305.49483997119125,0.0,0,""
1,MERGE_pt,swe,950.7894620035972,0.0,0,""
1,MERGE_pt,nor,1053.4105502746042,0.0,0,""
1,MERGE_pt,den,1412.2894043444126,0.0,0,""
1,MERGE_nld,fra,326.67730690174886,1.0,1,1
1,MERGE_nld,spa,385.23172028600237,1.0,1,1
1,MERGE_nld,cze,398.7671135237304,1.0,1,1
1,MERGE_nld,deu,174.82307986675062,1.0,1,1
1,MERGE_nld,pt,521.3586826740186,1.0,1,1
1,MERGE_nld,ita,726.5039800132087,1.0,1,1
1,MERGE_nld,nld,66.9365959329694,1.0,1,1
1,MERGE_nld,bulg,77.52775531964284,1.0,0,""
1,MERGE_nld,pol,408.25202389642277,1.0,0,""
1,MERGE_nld,rus,77.88465116405781,1.0,0,""
1,MERGE_nld,swe,361.5476099300356,1.0,0,""
1,MERGE_nld,nor,346.8315734443955,1.0,0,""
1,MERGE_nld,den,409.0367120660029,1.0,0,""
1,MERGE_swe,fra,295.61905682279377,1.0,1,1
1,MERGE_swe,spa,331.13400292990787,1.0,1,1
1,MERGE_swe,cze,347.3616973014105,1.0,1,1
1,MERGE_swe,deu,167.51050509510247,1.0,1,1
1,MERGE_swe,pt,449.9500521676294,1.0,1,1
1,MERGE_swe,ita,614.2242493045339,1.0,1,1
1,MERGE_swe,nld,71.7419447896326,1.0,1,1
1,MERGE_swe,bulg,85.50252714606073,1.0,0,""
1,MERGE_swe,pol,387.97201412015255,1.0,0,""
1,MERGE_swe,rus,84.96766359099163,1.0,0,""
1,MERGE_swe,swe,139.62910250706025,1.0,1,1
1,MERGE_swe,nor,212.8481527999971,1.0,0,""
1,MERGE_swe,den,278.59226526592056,1.0,0,""
1,MERGE_nor,fra,296.5149574507031,1.0,1,1
1,MERGE_nor,spa,341.65933499895647,1.0,1,1
1,MERGE_nor,cze,381.92628660592044,1.0,1,1
1,MERGE_nor,deu,182.5817728363861,1.0,1,1
1,MERGE_nor,pt,467.6857662944424,1.0,1,1
1,MERGE_nor,ita,603.2331039120769,1.0,1,1
1,MERGE_nor,nld,82.87133771396685,1.0,1,1
1,MERGE_nor,bulg,109.72074348288439,1.0,0,""
1,MERGE_nor,pol,433.5884754320884,1.0,0,""
1,MERGE_nor,rus,108.02539854134173,1.0,0,""
1,MERGE_nor,swe,111.14020823789294,1.0,1,1
1,MERGE_nor,nor,103.58744604641767,1.0,1,1
1,MERGE_nor,den,180.99780382225748,1.0,0,""
1,MERGE_den,fra,343.3470623994805,1.0,1,1
1,MERGE_den,spa,404.632512466178,1.0,1,1
1,MERGE_den,cze,457.5097634685988,1.0,1,1
1,MERGE_den,deu,209.51357854739578,1.0,1,1
1,MERGE_den,pt,545.0544387762493,1.0,1,1
1,MERGE_den,ita,683.6259997150423,1.0,1,1
1,MERGE_den,nld,103.24861288372388,1.0,1,1
1,MERGE_den,bulg,195.04170091277197,1.0,0,""
1,MERGE_den,pol,523.4681104271946,1.0,0,""
1,MERGE_den,rus,187.59517343609588,1.0,0,""
1,MERGE_den,swe,107.03697989575338,1.0,1,1
1,MERGE_den,nor,75.18312008007432,1.0,1,1
1,MERGE_den,den,97.11726358494172,1.0,1,1
1,MERGE_pol,fra,343.542272871969,0.8782051282051282,1,1
1,MERGE_pol,spa,369.3688048905886,0.9551282051282052,1,1
1,MERGE_pol,cze,284.02754320738785,0.6357827476038339,1,1
1,MERGE_pol,deu,220.02960636047038,0.6057692307692307,1,1
1,MERGE_pol,pt,464.59728591221636,0.8717948717948718,1,1
1,MERGE_pol,ita,580.468106350161,0.7887323943661971,1,1
1,MERGE_pol,nld,110.5419121891839,0.6891025641025641,1,1
1,MERGE_pol,bulg,221.11935452527274,0.7339743589743589,0,""
1,MERGE_pol,pol,136.45216861884157,0.8173076923076923,1,1
1,MERGE_pol,rus,210.58668732992393,0.7628205128205128,0,""
1,MERGE_pol,swe,111.35876547095134,0.40894568690095845,1,1
1,MERGE_pol,nor,81.86845051550571,0.7380191693290735,1,1
1,MERGE_pol,den,109.2666158562093,0.46325878594249204,1,1
1,MERGE_cze,fra,362.6320733333752,0.0,1,1
1,MERGE_cze,spa,371.6367039307765,0.0,1,1
1,MERGE_cze,cze,97.68951763410512,0.0,1,1
1,MERGE_cze,deu,266.9346062220733,0.0,1,1
1,MERGE_cze,pt,433.75721715329416,0.0,1,1
1,MERGE_cze,ita,593.4143368271292,0.0,1,1
1,MERGE_cze,nld,135.89945383523934,0.0,1,1
1,MERGE_cze,bulg,283.8447649467909,0.0,0,""
1,MERGE_cze,pol,111.06582706239655,0.0,1,1
1,MERGE_cze,rus,271.6245174177844,0.0,0,""
1,MERGE_cze,swe,124.40971412092418,0.0,1,1
1,MERGE_cze,nor,96.31637994404261,0.0,1,1
1,MERGE_cze,den,131.4284755455622,0.0,1,1
1,MERGE_rus,fra,386.75754738279016,0.0,1,1
