step,specialist,model_id,chosen_weight,seen_acc,minerva
1,astrosage,AstroMLab/AstroSage-8B,0.15,0.769737,0.334
2,ultramedical,TsinghuaC3I/Llama-3.1-8B-UltraMedical,0.15,0.702229,0.356
3,meditron3,OpenMeditron/Meditron3-8B,0.35,0.730127,0.348
4,foundation_sec,fdtn-ai/Foundation-Sec-8B,0.05,0.740987,0.352
5,fino1,TheFinAI/Fino1-8B,0.35,0.697481,0.378
6,openmath_w0.05,nvidia/OpenMath2-Llama3.1-8B,0.05,0.690025,0.404
6,openmath_w0.25,nvidia/OpenMath2-Llama3.1-8B,0.25,0.64583,0.452
6,openmath_w0.40,nvidia/OpenMath2-Llama3.1-8B,0.4,0.585707,0.508
